Tick (ms),ADC Value,ForceValue
17532,8,5.412413793
17534,38,25.70896552
17536,68,46.00551724
17538,58,39.24
17540,56,37.88689655
17542,32,21.64965517
17544,4,2.706206897
17546,0,0
17548,5,3.382758621
17550,24,16.23724138
17552,29,19.62
17554,45,30.44482759
17556,66,44.65241379
17558,43,29.09172414
17560,1,0.676551724
17562,-2,-1.353103448
17564,-11,-7.442068966
17566,-12,-8.11862069
17568,27,18.26689655
17570,41,27.73862069
17572,34,23.00275862
17574,29,19.62
17576,-4,-2.706206897
17578,-11,-7.442068966
17580,-25,-16.9137931
17582,-35,-23.67931034
17584,-12,-8.11862069
17586,30,20.29655172
17588,21,14.20758621
17590,13,8.795172414
17592,29,19.62
17594,-28,-18.94344828
17596,-29,-19.62
17598,-43,-29.09172414
17600,-32,-21.64965517
17602,17,11.50137931
17604,15,10.14827586
17606,38,25.70896552
17608,20,13.53103448
17610,-3,-2.029655172
17612,14,9.471724138
17614,-12,-8.11862069
17616,-7,-4.735862069
17618,-1,-0.676551724
17620,3,2.029655172
17622,21,14.20758621
17624,26,17.59034483
17626,35,23.67931034
17628,23,15.56068966
17630,13,8.795172414
17632,-3,-2.029655172
17634,1,0.676551724
17636,37,25.03241379
17638,24,16.23724138
17640,14,9.471724138
17642,17,11.50137931
17644,16,10.82482759
17646,25,16.9137931
17648,16,10.82482759
17650,3,2.029655172
17652,16,10.82482759
17654,31,20.97310345
17656,36,24.35586207
17658,53,35.85724138
17660,42,28.41517241
17662,3,2.029655172
17664,21,14.20758621
17666,20,13.53103448
17668,21,14.20758621
17670,28,18.94344828
17672,47,31.79793103
17674,6,4.059310345
17676,22,14.88413793
17678,-4,-2.706206897
17680,-3,-2.029655172
17682,9,6.088965517
17684,-7,-4.735862069
17686,19,12.85448276
17688,32,21.64965517
17690,18,12.17793103
17692,0,0
17694,-6,-4.059310345
17696,-19,-12.85448276
17698,-36,-24.35586207
17700,-17,-11.50137931
17702,5,3.382758621
17704,4,2.706206897
17706,1,0.676551724
17708,30,20.29655172
17710,-6,-4.059310345
17712,-24,-16.23724138
17714,-29,-19.62
17716,-31,-20.97310345
17718,-16,-10.82482759
17720,-16,-10.82482759
17722,15,10.14827586
17724,28,18.94344828
17726,33,22.3262069
17728,14,9.471724138
17730,-10,-6.765517241
17732,-11,-7.442068966
17734,-11,-7.442068966
17736,2,1.353103448
17738,23,15.56068966
17740,27,18.26689655
17742,14,9.471724138
17744,23,15.56068966
17746,-9,-6.088965517
17748,5,3.382758621
17750,-1,-0.676551724
17752,-1,-0.676551724
17754,0,0
17756,36,24.35586207
17758,16,10.82482759
17760,19,12.85448276
17762,15,10.14827586
17764,2,1.353103448
17766,0,0
17768,-2,-1.353103448
17770,22,14.88413793
17772,19,12.85448276
17774,17,11.50137931
17776,13,8.795172414
17778,14,9.471724138
17780,0,0
17782,10,6.765517241
17784,13,8.795172414
17786,-15,-10.14827586
17788,-4,-2.706206897
17790,-14,-9.471724138
17792,-19,-12.85448276
17794,-32,-21.64965517
17796,-20,-13.53103448
17798,-7,-4.735862069
17800,-10,-6.765517241
17802,-6,-4.059310345
17804,-23,-15.56068966
17806,-25,-16.9137931
17808,-19,-12.85448276
17810,-41,-27.73862069
17812,-63,-42.62275862
17814,-50,-33.82758621
17816,-35,-23.67931034
17818,-2,-1.353103448
17820,7,4.735862069
17822,-31,-20.97310345
17824,-17,-11.50137931
17826,-33,-22.3262069
17828,-72,-48.71172414
17830,-77,-52.09448276
17832,-52,-35.18068966
17834,-42,-28.41517241
17836,-31,-20.97310345
17838,-20,-13.53103448
17840,-23,-15.56068966
17842,-32,-21.64965517
17844,-60,-40.59310345
17846,-68,-46.00551724
17848,-46,-31.12137931
17850,-33,-22.3262069
17852,-5,-3.382758621
17854,8,5.412413793
17856,-17,-11.50137931
17858,-31,-20.97310345
17860,-40,-27.06206897
17862,-53,-35.85724138
17864,-37,-25.03241379
17866,-15,-10.14827586
17868,0,0
17870,22,14.88413793
17872,15,10.14827586
17874,10,6.765517241
17876,-11,-7.442068966
17878,-9,-6.088965517
17880,-31,-20.97310345
17882,-21,-14.20758621
17884,-8,-5.412413793
17886,5,3.382758621
17888,11,7.442068966
17890,5,3.382758621
17892,-10,-6.765517241
17894,-26,-17.59034483
17896,-5,-3.382758621
17898,-23,-15.56068966
17900,-9,-6.088965517
17902,-9,-6.088965517
17904,-4,-2.706206897
17906,-4,-2.706206897
17908,-9,-6.088965517
17910,-7,-4.735862069
17912,-28,-18.94344828
17914,-19,-12.85448276
17916,-28,-18.94344828
17918,-16,-10.82482759
17920,-7,-4.735862069
17922,-23,-15.56068966
17924,-43,-29.09172414
17926,-38,-25.70896552
17928,-58,-39.24
17930,-6,-4.059310345
17932,0,0
17934,-21,-14.20758621
17936,-24,-16.23724138
17938,-32,-21.64965517
17940,-43,-29.09172414
17942,-48,-32.47448276
17944,-45,-30.44482759
17946,-11,-7.442068966
17948,7,4.735862069
17950,0,0
17952,-5,-3.382758621
17954,-27,-18.26689655
17956,-50,-33.82758621
17958,-48,-32.47448276
17960,-42,-28.41517241
17962,-47,-31.79793103
17964,4,2.706206897
17966,-9,-6.088965517
17968,-12,-8.11862069
17970,-10,-6.765517241
17972,-42,-28.41517241
17974,-31,-20.97310345
17976,-42,-28.41517241
17978,-21,-14.20758621
17980,17,11.50137931
17982,25,16.9137931
17984,4,2.706206897
17986,14,9.471724138
17988,-2,-1.353103448
17990,-12,-8.11862069
17992,-12,-8.11862069
17994,2,1.353103448
17996,-8,-5.412413793
17998,16,10.82482759
18000,11,7.442068966
18002,-5,-3.382758621
18004,9,6.088965517
18006,-12,-8.11862069
18008,-15,-10.14827586
18010,-12,-8.11862069
18012,-11,-7.442068966
18014,-3,-2.029655172
18016,-2,-1.353103448
18018,1,0.676551724
18020,-2,-1.353103448
18022,11,7.442068966
18024,6,4.059310345
18026,-3,-2.029655172
18028,-32,-21.64965517
18030,-11,-7.442068966
18032,-24,-16.23724138
18034,-12,-8.11862069
18036,1,0.676551724
18038,19,12.85448276
18040,-3,-2.029655172
18042,0,0
18044,-36,-24.35586207
18046,-30,-20.29655172
18048,-9,-6.088965517
18050,-14,-9.471724138
18052,-22,-14.88413793
18054,9,6.088965517
18056,-24,-16.23724138
18058,8,5.412413793
18060,-23,-15.56068966
18062,-24,-16.23724138
18064,-16,-10.82482759
18066,-16,-10.82482759
18068,2,1.353103448
18070,20,13.53103448
18072,13,8.795172414
18074,-1,-0.676551724
18076,-11,-7.442068966
18078,-17,-11.50137931
18080,-3,-2.029655172
18082,0,0
18084,35,23.67931034
18086,19,12.85448276
18088,1,0.676551724
18090,3,2.029655172
18092,-6,-4.059310345
18094,-23,-15.56068966
18096,-18,-12.17793103
18098,-4,-2.706206897
18100,24,16.23724138
18102,21,14.20758621
18104,58,39.24
18106,47,31.79793103
18108,-6,-4.059310345
18110,-13,-8.795172414
18112,-22,-14.88413793
18114,-9,-6.088965517
18116,15,10.14827586
18118,48,32.47448276
18120,31,20.97310345
18122,34,23.00275862
18124,28,18.94344828
18126,13,8.795172414
18128,-27,-18.26689655
18130,6,4.059310345
18132,-6,-4.059310345
18134,27,18.26689655
18136,23,15.56068966
18138,43,29.09172414
18140,44,29.76827586
18142,29,19.62
18144,12,8.11862069
18146,6,4.059310345
18148,-15,-10.14827586
18150,19,12.85448276
18152,7,4.735862069
18154,13,8.795172414
18156,16,10.82482759
18158,1,0.676551724
18160,-17,-11.50137931
18162,-6,-4.059310345
18164,-35,-23.67931034
18166,8,5.412413793
18168,-3,-2.029655172
18170,21,14.20758621
18172,20,13.53103448
18174,11,7.442068966
18176,13,8.795172414
18178,-18,-12.17793103
18180,-2,-1.353103448
18182,16,10.82482759
18184,11,7.442068966
18186,5,3.382758621
18188,1,0.676551724
18190,-5,-3.382758621
18192,0,0
18194,-18,-12.17793103
18196,-3,-2.029655172
18198,13,8.795172414
18200,-2,-1.353103448
18202,26,17.59034483
18204,4,2.706206897
18206,17,11.50137931
18208,10,6.765517241
18210,3,2.029655172
18212,-4,-2.706206897
18214,-10,-6.765517241
18216,8,5.412413793
18218,34,23.00275862
18220,21,14.20758621
18222,19,12.85448276
18224,22,14.88413793
18226,16,10.82482759
18228,2,1.353103448
18230,24,16.23724138
18232,37,25.03241379
18234,23,15.56068966
18236,23,15.56068966
18238,5,3.382758621
18240,25,16.9137931
18242,42,28.41517241
18244,11,7.442068966
18246,28,18.94344828
18248,12,8.11862069
18250,31,20.97310345
18252,23,15.56068966
18254,45,30.44482759
18256,22,14.88413793
18258,0,0
18260,5,3.382758621
18262,-18,-12.17793103
18264,4,2.706206897
18266,-5,-3.382758621
18268,4,2.706206897
18270,10,6.765517241
18272,15,10.14827586
18274,23,15.56068966
18276,6,4.059310345
18278,-6,-4.059310345
18280,-3,-2.029655172
18282,10,6.765517241
18284,-16,-10.82482759
18286,20,13.53103448
18288,15,10.14827586
18290,1,0.676551724
18292,1,0.676551724
18294,-25,-16.9137931
18296,-14,-9.471724138
18298,-28,-18.94344828
18300,0,0
18302,19,12.85448276
18304,13,8.795172414
18306,8,5.412413793
18308,11,7.442068966
18310,-12,-8.11862069
18312,-16,-10.82482759
18314,-30,-20.29655172
18316,-16,-10.82482759
18318,-14,-9.471724138
18320,6,4.059310345
18322,-4,-2.706206897
18324,0,0
18326,11,7.442068966
18328,15,10.14827586
18330,6,4.059310345
18332,1,0.676551724
18334,11,7.442068966
18336,-13,-8.795172414
18338,-20,-13.53103448
18340,2,1.353103448
18342,11,7.442068966
18344,-12,-8.11862069
18346,20,13.53103448
18348,7,4.735862069
18350,21,14.20758621
18352,5,3.382758621
18354,-9,-6.088965517
18356,-11,-7.442068966
18358,-16,-10.82482759
18360,-10,-6.765517241
18362,-22,-14.88413793
18364,15,10.14827586
18366,1,0.676551724
18368,24,16.23724138
18370,8,5.412413793
18372,15,10.14827586
18374,-3,-2.029655172
18376,-27,-18.26689655
18378,-18,-12.17793103
18380,11,7.442068966
18382,-8,-5.412413793
18384,13,8.795172414
18386,-4,-2.706206897
18388,10,6.765517241
18390,-14,-9.471724138
18392,-8,-5.412413793
18394,-15,-10.14827586
18396,-23,-15.56068966
18398,13,8.795172414
18400,4,2.706206897
18402,-4,-2.706206897
18404,19,12.85448276
18406,1,0.676551724
18408,-14,-9.471724138
18410,-35,-23.67931034
18412,-35,-23.67931034
18414,-7,-4.735862069
18416,4,2.706206897
18418,1,0.676551724
18420,0,0
18422,-5,-3.382758621
18424,3,2.029655172
18426,-22,-14.88413793
18428,-40,-27.06206897
18430,-20,-13.53103448
18432,-20,-13.53103448
18434,-5,-3.382758621
18436,22,14.88413793
18438,10,6.765517241
18440,-6,-4.059310345
18442,-5,-3.382758621
18444,-17,-11.50137931
18446,-30,-20.29655172
18448,-6,-4.059310345
18450,-2,-1.353103448
18452,-7,-4.735862069
18454,10,6.765517241
18456,-23,-15.56068966
18458,-5,-3.382758621
18460,-13,-8.795172414
18462,-6,-4.059310345
18464,0,0
18466,-7,-4.735862069
18468,14,9.471724138
18470,8,5.412413793
18472,-9,-6.088965517
18474,-19,-12.85448276
18476,-16,-10.82482759
18478,-31,-20.97310345
18480,-24,-16.23724138
18482,-20,-13.53103448
18484,-3,-2.029655172
18486,3,2.029655172
18488,-11,-7.442068966
18490,4,2.706206897
18492,-20,-13.53103448
18494,-29,-19.62
18496,-14,-9.471724138
18498,-25,-16.9137931
18500,-9,-6.088965517
18502,1,0.676551724
18504,-23,-15.56068966
18506,-23,-15.56068966
18508,-43,-29.09172414
18510,-39,-26.38551724
18512,-34,-23.00275862
18514,-18,-12.17793103
18516,-5,-3.382758621
18518,-10,-6.765517241
18520,-2,-1.353103448
18522,-34,-23.00275862
18524,-14,-9.471724138
18526,-55,-37.21034483
18528,-59,-39.91655172
18530,-32,-21.64965517
18532,-14,-9.471724138
18534,-11,-7.442068966
18536,-6,-4.059310345
18538,-32,-21.64965517
18540,-26,-17.59034483
18542,-43,-29.09172414
18544,-54,-36.5337931
18546,-54,-36.5337931
18548,-37,-25.03241379
18550,-20,-13.53103448
18552,10,6.765517241
18554,-12,-8.11862069
18556,-9,-6.088965517
18558,-31,-20.97310345
18560,-52,-35.18068966
18562,-42,-28.41517241
18564,-63,-42.62275862
18566,-23,-15.56068966
18568,-7,-4.735862069
18570,17,11.50137931
18572,7,4.735862069
18574,-20,-13.53103448
18576,-18,-12.17793103
18578,-38,-25.70896552
18580,-27,-18.26689655
18582,-18,-12.17793103
18584,-13,-8.795172414
18586,-2,-1.353103448
18588,-5,-3.382758621
18590,18,12.17793103
18592,-6,-4.059310345
18594,-33,-22.3262069
18596,-12,-8.11862069
18598,-24,-16.23724138
18600,-6,-4.059310345
18602,18,12.17793103
18604,-17,-11.50137931
18606,-1,-0.676551724
18608,-24,-16.23724138
18610,-33,-22.3262069
18612,-13,-8.795172414
18614,-30,-20.29655172
18616,-8,-5.412413793
18618,-5,-3.382758621
18620,2,1.353103448
18622,-5,-3.382758621
18624,7,4.735862069
18626,-20,-13.53103448
18628,-23,-15.56068966
18630,-19,-12.85448276
18632,-21,-14.20758621
18634,-10,-6.765517241
18636,-15,-10.14827586
18638,-18,-12.17793103
18640,-14,-9.471724138
18642,-41,-27.73862069
18644,-23,-15.56068966
18646,-28,-18.94344828
18648,7,4.735862069
18650,-15,-10.14827586
18652,-1,-0.676551724
18654,-4,-2.706206897
18656,-15,-10.14827586
18658,-30,-20.29655172
18660,-26,-17.59034483
18662,-19,-12.85448276
18664,-12,-8.11862069
18666,3,2.029655172
18668,-7,-4.735862069
18670,3,2.029655172
18672,-2,-1.353103448
18674,-6,-4.059310345
18676,-50,-33.82758621
18678,-16,-10.82482759
18680,-5,-3.382758621
18682,-18,-12.17793103
18684,-8,-5.412413793
18686,-6,-4.059310345
18688,-7,-4.735862069
18690,7,4.735862069
18692,-20,-13.53103448
18694,-14,-9.471724138
18696,-3,-2.029655172
18698,15,10.14827586
18700,9,6.088965517
18702,20,13.53103448
18704,28,18.94344828
18706,2,1.353103448
18708,-16,-10.82482759
18710,-30,-20.29655172
18712,-44,-29.76827586
18714,-11,-7.442068966
18716,-11,-7.442068966
18718,32,21.64965517
18720,55,37.21034483
18722,51,34.50413793
18724,2,1.353103448
18726,0,0
18728,-33,-22.3262069
18730,-57,-38.56344828
18732,-21,-14.20758621
18734,8,5.412413793
18736,12,8.11862069
18738,21,14.20758621
18740,41,27.73862069
18742,6,4.059310345
18744,-15,-10.14827586
18746,-27,-18.26689655
18748,-42,-28.41517241
18750,-16,-10.82482759
18752,0,0
18754,7,4.735862069
18756,6,4.059310345
18758,4,2.706206897
18760,18,12.17793103
18762,-11,-7.442068966
18764,-4,-2.706206897
18766,-19,-12.85448276
18768,-17,-11.50137931
18770,18,12.17793103
18772,12,8.11862069
18774,-4,-2.706206897
18776,-4,-2.706206897
18778,-11,-7.442068966
18780,6,4.059310345
18782,-3,-2.029655172
18784,10,6.765517241
18786,43,29.09172414
18788,14,9.471724138
18790,-2,-1.353103448
18792,11,7.442068966
18794,21,14.20758621
18796,-1,-0.676551724
18798,22,14.88413793
18800,14,9.471724138
18802,46,31.12137931
18804,49,33.15103448
18806,40,27.06206897
18808,23,15.56068966
18810,1,0.676551724
18812,5,3.382758621
18814,29,19.62
18816,33,22.3262069
18818,68,46.00551724
18820,52,35.18068966
18822,35,23.67931034
18824,16,10.82482759
18826,4,2.706206897
18828,16,10.82482759
18830,15,10.14827586
