Time (s),Sensor Value
33.410961866378784,-1.63
33.50506782531738,-1.69
33.59929585456848,-1.76
33.69346284866333,-1.75
33.787683725357056,-1.69
33.88193106651306,-1.64
33.97608280181885,-1.70
34.07436800003052,-1.76
34.16857075691223,-1.55
34.262805700302124,-1.52
34.35701370239258,-1.65
34.45122170448303,-1.71
34.54540705680847,-1.72
34.63961672782898,-1.70
34.733826875686646,-1.56
34.82801175117493,-1.59
34.92626166343689,-1.71
35.02056670188904,-1.79
35.11468982696533,-1.65
35.20896577835083,-1.71
35.3031268119812,-1.65
35.3973548412323,-1.53
35.49151802062988,-1.48
35.585710763931274,-1.57
35.67995500564575,-1.57
35.77819275856018,-1.52
35.87243294715881,-1.60
35.96664571762085,-1.66
36.060853004455566,-1.64
36.155022859573364,-1.68
36.24929881095886,-1.70
36.34344506263733,-1.69
36.437697649002075,-1.60
36.53184986114502,-1.61
36.63009786605835,-1.64
36.72439670562744,-1.61
36.818623065948486,-1.78
36.91275382041931,-1.86
37.00701189041138,-1.75
37.10115694999695,-1.71
37.19536066055298,-1.64
37.289588928222656,-1.65
37.38375973701477,-1.62
37.48207068443298,-1.58
37.57636475563049,-1.54
37.67046284675598,-1.49
37.764718770980835,-1.45
37.85897397994995,-1.49
37.95313286781311,-1.64
38.04729199409485,-1.58
38.141496896743774,-1.62
38.23571467399597,-1.73
38.333953857421875,-1.53
38.42824077606201,-1.58
38.522419929504395,-1.60
38.61664390563965,-1.54
38.710795640945435,-1.52
38.80503463745117,-1.61
38.899245738983154,-1.62
38.99341702461243,-1.65
39.08762979507446,-1.58
39.185898780822754,-1.56
39.28019094467163,-1.55
39.37433385848999,-1.48
39.468541860580444,-1.55
39.562783002853394,-1.64
39.65702295303345,-1.54
39.751160860061646,-1.69
39.845430850982666,-1.53
39.939536809921265,-1.38
40.037760734558105,-1.47
40.13213491439819,-1.52
40.226287841796875,-1.56
40.32048177719116,-1.64
40.41470289230347,-1.65
40.508877754211426,-1.62
40.60311579704285,-1.56
40.697258710861206,-1.55
40.791465044021606,-1.57
40.88979983329773,-1.57
40.98406100273132,-1.64
41.078184843063354,-1.72
41.17244076728821,-1.60
41.2666130065918,-1.46
41.36082172393799,-1.45
41.45507192611694,-1.56
41.54922080039978,-1.67
41.643420934677124,-1.70
41.74173879623413,-1.54
41.835959672927856,-1.44
41.93009901046753,-1.44
42.024322748184204,-1.47
42.118523836135864,-1.62
42.21276879310608,-1.62
42.30694890022278,-1.50
42.401190996170044,-1.56
42.49532079696655,-1.58
42.593650817871094,-1.46
42.68786001205444,-1.48
42.78205704689026,-1.53
42.8762366771698,-1.36
42.97042679786682,-1.35
43.06466484069824,-1.51
43.15885281562805,-1.46
43.25309181213379,-1.37
43.34729194641113,-1.34
43.44556498527527,-1.38
43.53981590270996,-1.52
43.633957862854004,-1.47
43.728174924850464,-1.41
43.82241177558899,-1.51
43.9165678024292,-1.60
44.010828733444214,-1.59
44.1049747467041,-1.56
44.1991868019104,-1.53
44.297507762908936,-1.50
44.391727924346924,-1.49
44.485856771469116,-1.41
44.580095052719116,-1.40
44.67429995536804,-1.42
44.76854395866394,-1.45
44.86272883415222,-1.48
44.95691776275635,-1.46
45.05115604400635,-1.34
45.14941596984863,-1.27
