Frame,Robot_X,Robot_Y,Robot_Z,Roll_deg,Pitch_deg,Yaw_deg
86,-0.012446752400186369,0.6085595011844194,-0.032641543689876665,-3.7437037894270686,-9.913048568410064,-91.86617540425077
87,-0.009688343440951895,0.607230487834217,-0.05239208817704349,-4.168842714059031,-11.906757598633574,-91.11422774553375
88,-0.010058060910266352,0.6001182238977913,-0.044850140541346686,-2.65498638400634,-12.01745924560846,-91.57548251457742
89,-0.009029185729892175,0.6063669839410162,-0.05624404396543292,-2.291768958508431,-11.702433061840889,-91.9650146073563
90,-0.012867443947043278,0.6246707649634451,-0.04801116018414891,-4.510839409441582,-9.133322205069861,-91.12588925975423
91,-0.009445790185220423,0.6141488017290421,-0.05696391354879825,-2.686112865017734,-10.424549090633969,-91.61399199882925
92,-0.009410015821314269,0.6143611118467984,-0.0569838575871703,-3.1722562184299803,-10.903737534903385,-91.60670190872668
93,-0.010572189992208849,0.6172206058123375,-0.04624860261742527,-3.9348620126468954,-10.8031439760173,-90.83347010183577
94,-0.010985208611874249,0.6187247355149234,-0.04009795381078336,-3.4464691698204444,-11.265902323502864,-90.80161986577554
95,-0.011707238083686036,0.6107129302281267,-0.039541460542515464,-3.54722349629646,-12.08327125360408,-91.15887944013646
96,-0.011908914575230519,0.6180390978110212,-0.04001316292171319,-3.461196026532588,-11.31536653076638,-90.79822958886562
97,-0.010692907119678524,0.6256385666681384,-0.039564934401011304,-3.5807562344325077,-10.566296454176241,-91.2157021538863
98,-0.010446165201078899,0.619703367600492,-0.038035629626117,-3.936553715306492,-10.740987363447951,-90.83620530500056
99,-0.010929131101448896,0.6193012120197896,-0.040007646931172244,-3.667681509630267,-11.287574806553476,-91.57857989639666
100,-0.009985298132938093,0.6205967225655531,-0.040132491651907576,-3.641863765770174,-11.2089149572118,-91.60915217786311
101,-0.011335001323429069,0.6125685871337793,-0.04165806898694555,-3.256518427283268,-11.524699554144782,-91.99511661625492
102,-0.010500363214567678,0.6215273155247154,-0.04231891269276153,-3.644443946763518,-11.146887037738606,-91.61169552876619
103,-0.00978951284048689,0.613349656360161,-0.03966721219236287,-3.972085869226963,-12.430397545468685,-91.20606946202844
104,-0.009216563084497949,0.6292386588438744,-0.04072998990994981,-4.252338040905599,-10.88453621819727,-92.02405728682386
105,-0.009037143218940854,0.6218937610466307,-0.04025762021617413,-4.098282283435513,-11.643292584671217,-91.62575479969463
106,-0.009688335249379221,0.6301911915287646,-0.04295825717036825,-4.255430811396423,-10.822640677679084,-92.02649370422108
107,-0.006421352145958639,0.6185698744278423,-0.025837620113674624,-3.8602182428548675,-10.297094506841757,-93.10483656976503
108,-0.009074424105121522,0.6232105845305492,-0.03702157444932316,-3.8603211010656637,-11.14126752386031,-92.41150385679143
109,-0.008387877238023807,0.6321381917807524,-0.037575402221449304,-4.731927539906429,-11.251644219253182,-92.02170244903304
110,-0.008734622683970936,0.61691201709468,-0.03665454659589646,-3.9376782506705346,-11.845251404390952,-92.77058038703092
111,-0.004781446260460781,0.6284339745701968,-0.023005055582740568,-4.700446511434919,-10.386433295143041,-92.74609845107204
112,-0.005117811442440668,0.6367492350855196,-0.02403846228666355,-4.640320298006175,-9.581061754333035,-92.3635345129659
113,-0.005117811442440668,0.6367492350855196,-0.02403846228666355,-4.640320298006175,-9.581061754333035,-92.3635345129659
114,-0.011041271259672188,0.5076497402300052,-0.030051755081968667,-4.3025700836102985,-9.782795353878551,-91.31586922005879
115,-0.009236289356204493,0.6263252291885149,-0.03290559049837999,-4.824342547876448,-11.973547699993208,-92.35529808992447
116,-0.009933044551151493,0.6187837921072187,-0.03247903810471044,-3.9725279866490615,-11.798312156172967,-92.74210239163261
117,-0.005773265714081242,0.6389822246486423,-0.02336585343071771,-4.415713668851524,-9.979200044312202,-93.09362088971687
118,-0.006633165111472238,0.6310076456895448,-0.023773604954790008,-3.567143964553071,-9.805538808231614,-93.47745007514561
119,-0.009722066046502255,0.6289142960551823,-0.03734416129842502,-4.376572430008044,-11.327183711566917,-92.37164745691163
120,-0.010638902908006734,0.6283436984323583,-0.03728365441016664,-3.915726405082432,-11.854685543963909,-92.31139786065577
121,-0.008196447148019174,0.6171317015508359,-0.04612339810367848,-5.946726088783151,-11.221444172778,-91.22824818986602
122,-0.010355244340204416,0.6365112666249186,-0.04422136910211466,-4.060984025918918,-11.015455110462616,-92.74154042363168
123,-0.00998283270673989,0.6359017374652027,-0.04751221014167677,-4.571156171230138,-10.523115373972967,-92.74660612968646
124,-0.010228738077920975,0.6370393476241825,-0.0448708222108665,-4.545199536640014,-11.466804495596186,-92.71227947412794
125,-0.009449903130938905,0.6449279544022307,-0.04819277290926013,-5.451861665861602,-10.639464828580104,-92.35755666819965
126,-0.010831187141573361,0.653497857306392,-0.04882170489029157,-4.591689439014658,-11.824991270467446,-92.68994033383181
127,-0.010480159702853303,0.6629101405041709,-0.05029088875495898,-4.497947800314264,-10.963327528344342,-92.35688571128372
129,-0.0140282565915945,0.6505861409780583,-0.04818340288955706,-6.117728144101985,-10.245472149182433,-92.65034869982095
130,-0.010757759713590198,0.6389779200241623,-0.048092196159903816,-4.297071859928961,-11.837622229619143,-93.47121486333221
131,-0.006998454209096216,0.6337754861541663,-0.06508352673788285,-4.724435991820556,-12.747434212245812,-93.74395489422754
133,-0.005613345219468003,0.6352426247517821,-0.06884982295711423,-3.2486157075457442,-13.504347227232783,-94.66036790907692
134,-0.005503613183784997,0.6428806894563424,-0.07380558044620242,-3.3887770644007507,-12.685380820235494,-95.07594161196074
136,-0.00707014994644134,0.5156983954793153,-0.05182906490598074,-3.9799186748295483,-11.283473479836253,-94.06954009228885
137,-0.007580276378234512,0.6371684655709934,-0.06065456274227067,-2.9863669006773583,-13.954538175134228,-95.4027391642586
138,-0.007074637412889846,0.6537019085216975,-0.0657093929348209,-3.306257063257402,-12.859828745985961,-94.68931190402668
139,-0.006122420312346972,0.64326141892537,-0.0746987560573049,-3.1152649008800477,-13.116591121781967,-95.84547228199119
140,-0.007704375346895376,0.6452201848332049,-0.06560105066741174,-3.1152649008800477,-13.116591121781967,-95.84547228199119
141,-0.008973519107999619,0.6484397372006356,-0.051275076197991425,-2.6258446032857177,-13.575601248932035,-95.82542761155062
142,-0.009519658992332378,0.6401778718976724,-0.049845964043769564,-2.246127165203675,-13.873595420279077,-96.19265313956538
143,-0.009437969974427184,0.6422227243491228,-0.05000901168865598,-3.004321353277943,-13.793714488625636,-95.41434938552904
144,-0.010371679516505599,0.6415854727967134,-0.04992716818222122,-2.5563786857835087,-14.320313530427127,-95.35634505646382
145,-0.01055118234230004,0.6420592554080568,-0.050708506934645826,-2.569946587463541,-13.332858490697557,-95.37970415795016
146,-0.010325287486222193,0.64223657996544,-0.049979780992506,-3.0424274915219143,-13.807723868382862,-95.37855197093228
147,-0.007094261318741066,0.6465490048435054,-0.034500638823601076,-3.0740202747743868,-11.997507956658216,-95.66766850504271
148,-0.0062557860914156955,0.6559613787407464,-0.03503715508203038,-2.9639989027950024,-11.162138653107696,-95.34678556081778
149,-0.006871359415709783,0.6471951816304223,-0.03379685946253993,-3.0692725959427087,-11.970234600729048,-95.69100640200895
150,-0.007053069757879441,0.6471097435743118,-0.034532282887437774,-3.5668121031460496,-11.485290004157786,-95.6899086825106
151,-0.005637731380950569,0.651127333011492,-0.05973616913259168,-3.6903793642362235,-11.645993816498715,-96.10678940613363
152,-0.005591563968102564,0.6781381511674723,-0.05410481229088767,-3.617647015946642,-11.264524426936358,-95.79073376826526
153,-0.01244686792069837,0.7035843102636052,-0.054614739352032766,-4.928983192396695,-9.005325394991473,-94.27528138950618
154,-0.005011232390905372,0.6797998742784808,-0.05148103973713124,-3.623919966660862,-11.203671790043868,-95.79227386389942
155,-0.011582860842656592,0.6849659361641435,-0.05587330153781338,-4.620322990448725,-10.135240780520954,-94.99913676665747
156,-0.0036418189586148544,0.6610869382479103,-0.05973748543463912,-3.3391891979055743,-11.272161169566678,-96.54513821707701
157,-0.003687064258372514,0.6896655587712757,-0.0596973903306499,-3.4979427273072083,-11.306311173672542,-95.43964943495703
158,-0.0029018702006357484,0.6788394845205671,-0.06020083535024426,-3.8439512919463676,-11.141324009272191,-96.6182118085175
